epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5449,0.91361,0.56787,1.1751,0.97603,0.99778,0.98544,0.75764,1.02135,0.47795,1.14654,0.000530409,0.000530409,0.000530409
2,23.6377,0.95943,0.6002,1.1888,0.9345,0.96589,0.98493,0.72489,1.05035,0.594,1.12873,0.00107532,0.00107532,0.00107532
3,27.8685,1.00353,0.63209,1.20505,0.87243,0.86735,0.9312,0.63355,1.04267,0.9876,1.22493,0.00160924,0.00160924,0.00160924
4,31.7627,1.03308,0.68107,1.23055,0.92503,1,0.98162,0.62334,1.12801,0.6827,1.27469,0.00161749,0.00161749,0.00161749
5,34.9603,1.06284,0.69448,1.25064,0.96045,0.9544,0.97289,0.69377,1.02701,0.56249,1.1548,0.00160099,0.00160099,0.00160099
6,38.1721,1.09304,0.67202,1.2551,0.95725,0.96591,0.98592,0.65891,1.06146,0.59367,1.19493,0.00158448,0.00158448,0.00158448
7,41.4452,1.04711,0.66182,1.25739,0.8885,0.70122,0.8283,0.4378,1.69462,1.64283,2.16378,0.00156798,0.00156798,0.00156798
8,44.8002,1.07482,0.69899,1.25584,0.61244,0.45789,0.53436,0.28791,1.6788,2.24338,1.72254,0.00155148,0.00155148,0.00155148
9,48.1068,1.05514,0.64979,1.23202,0.59846,0.58003,0.49905,0.21598,2.07665,2.60405,2.51938,0.00153497,0.00153497,0.00153497
10,51.2548,1.04529,0.66672,1.24051,0.95574,0.97457,0.98441,0.6539,1.14662,0.60062,1.22839,0.00151847,0.00151847,0.00151847
11,54.42,1.02101,0.64922,1.23553,0.96892,1,0.99104,0.72572,1.01355,0.62423,1.17518,0.00150197,0.00150197,0.00150197
12,57.5673,1.02444,0.63974,1.23694,0.95872,0.99369,0.9858,0.70702,1.1873,0.5855,1.30002,0.00148546,0.00148546,0.00148546
13,60.8191,1.00355,0.62554,1.22048,0.95346,0.92816,0.97551,0.69507,1.10415,0.55875,1.25448,0.00146896,0.00146896,0.00146896
14,64.0326,0.99402,0.60946,1.17489,0.79351,0.87489,0.90419,0.56514,1.20077,1.25392,1.36335,0.00145246,0.00145246,0.00145246
15,68.1182,1.04666,0.63802,1.23359,0.98023,0.9754,0.98467,0.69947,1.08999,0.57557,1.18495,0.00143595,0.00143595,0.00143595
16,72.3679,0.96238,0.60917,1.1873,0.96407,0.99186,0.98377,0.7158,0.96093,0.57253,1.143,0.00141945,0.00141945,0.00141945
17,76.0564,0.99746,0.62742,1.19722,0.92762,0.94449,0.9879,0.6958,1.05108,0.66364,1.14055,0.00140295,0.00140295,0.00140295
18,79.3601,0.96072,0.58666,1.18926,0.98753,1,0.99,0.74213,1.00607,0.49926,1.13176,0.00138644,0.00138644,0.00138644
19,82.6529,0.97924,0.58256,1.19107,0.9893,0.98365,0.99125,0.74334,1.02096,0.52542,1.12782,0.00136994,0.00136994,0.00136994
20,85.8839,0.93812,0.5876,1.18132,0.98222,1,0.98667,0.74618,1.05666,0.47519,1.16968,0.00135344,0.00135344,0.00135344
21,89.0917,0.92959,0.55882,1.16726,0.68036,0.98003,0.84771,0.61977,1.03079,0.93463,1.16072,0.00133693,0.00133693,0.00133693
22,92.3225,0.97068,0.58774,1.20816,0.86105,0.93509,0.9309,0.68481,1.06693,0.68799,1.13754,0.00132043,0.00132043,0.00132043
23,95.5583,1.00072,0.58728,1.19718,0.97896,0.96875,0.98426,0.7226,0.88357,0.52457,1.07754,0.00130393,0.00130393,0.00130393
